SVHO-1000,Da Lat House,400.0,50.0,4,7 Day,Vip,Near Sea,4
SVHO-0003,Mua Xuan House,350.0,75.0,4,7 Day,Business,Near Sea,3
SVHO-0004,Bana House,360.0,65.0,4,D,Vip,Natural Space,4
SVHO-0010,Hue House,500.0,100.0,4,14 Day,Normal,Natural Space,2
SVHO-2100,City House,160.0,45.0,4,24 Hours,Vip,Near Sea,3
SVHO-1011,Happy House,240.0,150.0,4,1 Month,Normal,Beautiful Place,4
SVHO-0211,Happy House,200.0,40.0,4,7 Day,Normal,Beautiful Place,2
SVHO-0311,Cookie House,210.0,350.0,4,1 Year,Business,Beautiful Place,3
SVHO-1010,City House,90.0,35.0,4,7 Day,Vip,Natural Space,3
SVHO-0019,Sea House,140.0,40.0,4,14 Day,Business,Near Sea,2
